Time,A0,PotValue
1857,1022,255
1858,1022,255
1859,1022,255
1860,1022,255
1861,1022,255
1862,1021,255
1863,1022,255
1864,1021,255
1865,1022,255
1866,1021,255
1867,1022,255
1868,1022,255
1869,1022,255
1870,1022,255
1871,1022,255
1872,1022,255
1873,1022,255
1874,1021,255
1875,1022,255
1876,1022,255
1877,1022,255
1878,1022,255
1879,1022,255
1880,1022,255
1881,1022,255
1882,1022,255
1883,1022,255
1884,1022,255
1885,1022,255
1886,1022,255
1887,1021,255
1888,1022,255
1889,1022,255
1890,1022,255
1891,1022,255
1892,1022,255
1893,1022,255
1894,1022,255
1895,1022,255
1896,1022,255
1897,1022,255
1898,1022,255
